name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
5-methyl-2-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
4-methyl-3-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
6-methyl-1-octanol,C9H20O,C9H20O,aq,test,test,test,J,-122190.00000000001,-464039.99999999994,314.4654818044619,858.6701317797131,164.85,137.57526087899998,100.61416984499999,181.17146789807623,-68.67294070437,822.4023921261337,14.752329999999999,-0.682695316468557,0
6-methyl-3-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
2-methyl-4-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
3-methyl-4-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
4-methyl-4-octanol,C9H20O,C9H20O,aq,test,test,test,J,-116609.99999999999,-471990.0,269.0856394432344,883.5647074979033,164.77,137.4166542298,100.80310593900002,181.46096007868965,-68.74818703049401,846.6866530798993,15.007029999999999,-0.692761642718843,0
7-methyl-1-octanol,C9H20O,C9H20O,aq,test,test,test,J,-122190.00000000001,-464039.99999999994,314.4654818044619,858.6701317797131,164.85,137.57526087899998,100.61416984499999,181.17146789807623,-68.67294070437,822.4023921261337,14.752329999999999,-0.682695316468557,0
7-methyl-2-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
7-methyl-3-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
7-methyl-4-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
5-methyl-4-octanol,C9H20O,C9H20O,aq,test,test,test,J,-123999.99999999999,-470700.0,298.19850209626156,866.4554690407539,165.03,137.53230532799998,101.22412104,182.22161906790524,-68.98999429584,828.9054112407158,15.287199999999999,-0.7039059304703481,0
2-decanol,C10H22O,C10H22O,aq,test,test,test,J,-112890.0,-490770.0,330.0402696629228,960.5649721253417,180.34,150.207548454,110.83164397,202.10252428436053,-76.10245640162,922.5053583959566,15.49945,-0.7123987698616099,0
3-decanol,C10H22O,C10H22O,aq,test,test,test,J,-112890.0,-490770.0,330.0402696629228,960.5649721253417,180.34,150.207548454,110.83164397,202.10252428436053,-76.10245640162,922.5053583959566,15.49945,-0.7123987698616099,0
4-decanol,C10H22O,C10H22O,aq,test,test,test,J,-112890.0,-490770.0,330.0402696629228,960.5649721253417,180.34,150.207548454,110.83164397,202.10252428436053,-76.10245640162,922.5053583959566,15.49945,-0.7123987698616099,0
5-decanol,C10H22O,C10H22O,aq,test,test,test,J,-112890.0,-490770.0,330.0402696629228,960.5649721253417,180.34,150.207548454,110.83164397,202.10252428436053,-76.10245640162,922.5053583959566,15.49945,-0.7123987698616099,0
2-methyl-1-nonanol,C10H22O,C10H22O,aq,test,test,test,J,-113090.0,-488199.99999999994,339.3308951869881,943.5649721253417,180.46,150.374556962,110.73178991,201.95220739002042,-76.07176527286,905.9130351570825,15.329649999999997,-0.7056010230179033,0
2-methyl-2-nonanol,C10H22O,C10H22O,aq,test,test,test,J,-107509.99999999999,-496150.0,293.95105282576014,968.459547843532,180.38,150.207350374,110.94298957,202.3052545972697,-76.16362021922001,930.1959993356568,15.584349999999999,-0.7158081067213962,0
3-methyl-1-nonanol,C10H22O,C10H22O,aq,test,test,test,J,-113090.0,-488199.99999999994,339.3308951869881,943.5649721253417,180.46,150.374556962,110.73178991,201.95220739002042,-76.07176527286,905.9130351570825,15.329649999999997,-0.7056010230179033,0
2-methyl-3-nonanol,C10H22O,C10H22O,aq,test,test,test,J,-114899.99999999999,-494859.9999999999,323.0639154787875,951.3503093863825,180.64,150.31310186239998,111.389632832,203.1390969657799,-76.424546092672,912.4133171895492,15.864519999999999,-0.7271087314662279,0
4-methyl-1-nonanol,C10H22O,C10H22O,aq,test,test,test,J,-113090.0,-488199.99999999994,339.3308951869881,943.5649721253417,180.46,150.374556962,110.73178991,201.95220739002042,-76.07176527286,905.9130351570825,15.329649999999997,-0.7056010230179033,0
3-methyl-2-nonanol,C10H22O,C10H22O,aq,test,test,test,J,-114899.99999999999,-494859.9999999999,323.0639154787875,951.3503093863825,180.64,150.31310186239998,111.389632832,203.1390969657799,-76.424546092672,912.4133171895492,15.864519999999999,-0.7271087314662279,0
5-methyl-1-nonanol,C10H22O,C10H22O,aq,test,test,test,J,-113090.0,-488199.99999999994,339.3308951869881,943.5649721253417,180.46,150.374556962,110.73178991,201.95220739002042,-76.07176527286,905.9130351570825,15.329649999999997,-0.7056010230179033,0
5-methyl-2-nonanol,C10H22O,C10H22O,aq,test,test,test,J,-114899.99999999999,-494859.9999999999,323.0639154787875,951.3503093863825,180.64,150.31310186239998,111.389632832,203.1390969657799,-76.424546092672,912.4133171895492,15.864519999999999,-0.7271087314662279,0
